Thu Jan 31 14:00:08 CST 2019 Starting regionserver on hadoop02
core file size          (blocks, -c) 0
2019-01-31 14:00:11,062 INFO  [main] hfile.CacheConfig: Created cacheConfig: blockCache=LruBlockCache{blockCount=0, currentSize=591.60 KB, freeSize=786.92 MB, maxSize=787.50 MB, heapSize=591.60 KB, minSize=748.13 MB, minFactor=0.95, multiSize=374.06 MB, multiFactor=0.5, singleSize=187.03 MB, singleFactor=0.25}, cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false
2019-01-31 14:00:11,713 INFO  [main] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
2019-01-31 14:00:11,716 INFO  [main] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
2019-01-31 14:00:11,792 INFO  [main] zookeeper.RecoverableZooKeeper: Process identifier=regionserver:16020 connecting to ZooKeeper ensemble=hadoop01:2181,hadoop02:2181,hadoop03:2181
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:zookeeper.version=3.4.10-39d3a4f269333c922ed3db283be479f9deacaa0f, built on 03/23/2017 10:13 GMT
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:host.name=hadoop02
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:java.version=1.8.0_112
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:java.vendor=Oracle Corporation
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:java.home=/mnt/jdk8/jre
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: 2.5.0.jar:/mnt/opt/hbase-2.1.2/bin/../lib/snappy-java-1.0.5.jar:/mnt/opt/hbase-2.1.2/bin/../lib/spymemcached-2.12.2.jar:/mnt/opt/hbase-2.1.2/bin/../lib/validation-api-1.1.0.Final.jar:/mnt/opt/hbase-2.1.2/bin/../lib/xmlenc-0.52.jar:/mnt/opt/hbase-2.1.2/bin/../lib/xz-1.0.jar:/mnt/opt/hbase-2.1.2/bin/../lib/zookeeper-3.4.10.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/audience-annotations-0.5.0.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/commons-logging-1.2.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/findbugs-annotations-1.3.9-1.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/htrace-core4-4.2.0-incubating.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/log4j-1.2.17.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/slf4j-api-1.7.25.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/htrace-core-3.1.0-incubating.jar:/mnt/opt/hbase-2.1.2/bin/../lib/client-facing-thirdparty/slf4j-log4j12-1.7.25.jar
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:java.library.path=:/mnt/opt/hbase-2.1.2/bin/../lib/native/Linux-amd64-64/:/usr/local/lib/:/mnt/opt/hbase-2.1.2/bin/../lib/native/Linux-amd64-64
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:java.io.tmpdir=/tmp
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:java.compiler=<NA>
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:os.name=Linux
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:os.arch=amd64
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:os.version=2.6.32-754.9.1.el6.x86_64
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:user.name=hadoop
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:user.home=/home/hadoop
2019-01-31 14:00:11,800 INFO  [main] zookeeper.ZooKeeper: Client environment:user.dir=/home/hadoop
2019-01-31 14:00:11,801 INFO  [main] zookeeper.ZooKeeper: Initiating client connection, connectString=hadoop01:2181,hadoop02:2181,hadoop03:2181 sessionTimeout=120000 watcher=org.apache.hadoop.hbase.zookeeper.PendingWatcher@7004e3d
2019-01-31 14:00:11,821 INFO  [main-SendThread(hadoop02:2181)] zookeeper.ClientCnxn: Opening socket connection to server hadoop02/172.16.18.14:2181. Will not attempt to authenticate using SASL (unknown error)
2019-01-31 14:00:11,832 INFO  [main-SendThread(hadoop02:2181)] zookeeper.ClientCnxn: Socket connection established to hadoop02/172.16.18.14:2181, initiating session
2019-01-31 14:00:11,842 INFO  [main-SendThread(hadoop02:2181)] zookeeper.ClientCnxn: Session establishment complete on server hadoop02/172.16.18.14:2181, sessionid = 0x20012bb61d60092, negotiated timeout = 40000
2019-01-31 14:00:11,912 INFO  [main] util.log: Logging initialized @3075ms
2019-01-31 14:00:11,998 INFO  [main] http.HttpRequestLog: Http request log for http.requests.regionserver is not defined
2019-01-31 14:00:12,018 INFO  [main] http.HttpServer: Added global filter 'safety' (class=org.apache.hadoop.hbase.http.HttpServer$QuotingInputFilter)
2019-01-31 14:00:12,019 INFO  [main] http.HttpServer: Added global filter 'clickjackingprevention' (class=org.apache.hadoop.hbase.http.ClickjackingPreventionFilter)
2019-01-31 14:00:12,021 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context regionserver
2019-01-31 14:00:12,022 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
2019-01-31 14:00:12,022 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
2019-01-31 14:00:12,073 INFO  [main] http.HttpServer: Jetty bound to port 16030
2019-01-31 14:00:12,075 INFO  [main] server.Server: jetty-9.3.19.v20170502
2019-01-31 14:00:12,120 INFO  [main] handler.ContextHandler: Started o.e.j.s.ServletContextHandler@3c017078{/logs,file:///mnt/opt/hbase-2.1.2/logs/,AVAILABLE}
2019-01-31 14:00:12,121 INFO  [main] handler.ContextHandler: Started o.e.j.s.ServletContextHandler@3be4f71{/static,file:///mnt/opt/hbase-2.1.2/hbase-webapps/static/,AVAILABLE}
2019-01-31 14:00:12,230 INFO  [main] handler.ContextHandler: Started o.e.j.w.WebAppContext@11de56e6{/,file:///mnt/opt/hbase-2.1.2/hbase-webapps/regionserver/,AVAILABLE}{file:/mnt/opt/hbase-2.1.2/hbase-webapps/regionserver}
2019-01-31 14:00:12,237 INFO  [main] server.AbstractConnector: Started ServerConnector@776802b0{HTTP/1.1,[http/1.1]}{0.0.0.0:16030}
2019-01-31 14:00:12,237 INFO  [main] server.Server: Started @3401ms
2019-01-31 14:00:13,278 INFO  [regionserver/hadoop02:16020] regionserver.HRegionServer: ClusterId : eb7104e1-571a-420d-ac5b-0dec7b640296
2019-01-31 14:00:13,347 INFO  [ReadOnlyZKClient-hadoop01:2181,hadoop02:2181,hadoop03:2181@0x1adb97ff] zookeeper.ZooKeeper: Initiating client connection, connectString=hadoop01:2181,hadoop02:2181,hadoop03:2181 sessionTimeout=120000 watcher=org.apache.hadoop.hbase.zookeeper.ReadOnlyZKClient$$Lambda$37/2125150784@3ba9abf1
2019-01-31 14:00:13,349 INFO  [ReadOnlyZKClient-hadoop01:2181,hadoop02:2181,hadoop03:2181@0x1adb97ff-SendThread(hadoop02:2181)] zookeeper.ClientCnxn: Opening socket connection to server hadoop02/172.16.18.14:2181. Will not attempt to authenticate using SASL (unknown error)
2019-01-31 14:00:13,351 INFO  [ReadOnlyZKClient-hadoop01:2181,hadoop02:2181,hadoop03:2181@0x1adb97ff-SendThread(hadoop02:2181)] zookeeper.ClientCnxn: Socket connection established to hadoop02/172.16.18.14:2181, initiating session
2019-01-31 14:00:13,355 INFO  [ReadOnlyZKClient-hadoop01:2181,hadoop02:2181,hadoop03:2181@0x1adb97ff-SendThread(hadoop02:2181)] zookeeper.ClientCnxn: Session establishment complete on server hadoop02/172.16.18.14:2181, sessionid = 0x20012bb61d60094, negotiated timeout = 40000
2019-01-31 14:00:13,401 INFO  [regionserver/hadoop02:16020] regionserver.RegionServerCoprocessorHost: System coprocessor loading is enabled
2019-01-31 14:00:13,402 INFO  [regionserver/hadoop02:16020] regionserver.RegionServerCoprocessorHost: Table coprocessor loading is enabled
2019-01-31 14:00:13,409 INFO  [regionserver/hadoop02:16020] regionserver.HRegionServer: reportForDuty to master=hadoop01,16000,1548914409017 with port=16020, startcode=1548914409681
2019-01-31 14:00:13,820 INFO  [regionserver/hadoop02:16020] wal.WALFactory: Instantiating WALProvider of type class org.apache.hadoop.hbase.wal.AsyncFSWALProvider
2019-01-31 14:00:13,968 INFO  [regionserver/hadoop02:16020] regionserver.MetricsRegionServerWrapperImpl: Computing regionserver metrics every 5000 milliseconds
2019-01-31 14:00:13,993 INFO  [regionserver/hadoop02:16020] regionserver.MemStoreFlusher: globalMemStoreLimit=787.5 M, globalMemStoreLimitLowMark=748.1 M, Offheap=false
2019-01-31 14:00:14,002 INFO  [regionserver/hadoop02:16020] throttle.PressureAwareCompactionThroughputController: Compaction throughput configurations, higher bound: 20.00 MB/second, lower bound 10.00 MB/second, off peak: unlimited, tuning period: 60000 ms
2019-01-31 14:00:14,005 INFO  [regionserver/hadoop02:16020] regionserver.HRegionServer: CompactionChecker runs every PT10S
2019-01-31 14:00:14,075 INFO  [regionserver/hadoop02:16020] regionserver.HeapMemoryManager: Starting, tuneOn=false
2019-01-31 14:00:14,077 INFO  [SplitLogWorker-hadoop02:16020] regionserver.SplitLogWorker: SplitLogWorker hadoop02,16020,1548914409681 starting
2019-01-31 14:00:14,085 INFO  [regionserver/hadoop02:16020] regionserver.ChunkCreator: Allocating data MemStoreChunkPool with chunk size 2 MB, max count 354, initial count 0
2019-01-31 14:00:14,089 INFO  [regionserver/hadoop02:16020] regionserver.ChunkCreator: Allocating index MemStoreChunkPool with chunk size 204.80 KB, max count 393, initial count 0
2019-01-31 14:00:14,133 INFO  [regionserver/hadoop02:16020] regionserver.HRegionServer: Serving as hadoop02,16020,1548914409681, RpcServer on hadoop02/172.16.18.14:16020, sessionid=0x20012bb61d60092
2019-01-31 14:00:14,136 INFO  [regionserver/hadoop02:16020] quotas.RegionServerRpcQuotaManager: Quota support disabled
2019-01-31 14:00:14,136 INFO  [regionserver/hadoop02:16020] quotas.RegionServerSpaceQuotaManager: Quota support disabled, not starting space quota manager.
2019-01-31 14:00:17,171 INFO  [regionserver/hadoop02:16020] wal.AbstractFSWAL: WAL configuration: blocksize=256 MB, rollsize=128 MB, prefix=hadoop02%2C16020%2C1548914409681, suffix=, logDir=hdfs://hadoop01:9000/hbase/WALs/hadoop02,16020,1548914409681, archiveDir=hdfs://hadoop01:9000/hbase/oldWALs
2019-01-31 14:00:17,342 INFO  [regionserver/hadoop02:16020] wal.AbstractFSWAL: New WAL /hbase/WALs/hadoop02,16020,1548914409681/hadoop02%2C16020%2C1548914409681.1548914417183
2019-01-31 14:00:17,665 INFO  [RpcServer.priority.FPBQ.Fifo.handler=18,queue=0,port=16020] regionserver.RSRpcServices: Open hbase:meta,,1.1588230740
2019-01-31 14:00:17,668 INFO  [RS_OPEN_META-regionserver/hadoop02:16020-0] wal.WALFactory: Instantiating WALProvider of type class org.apache.hadoop.hbase.wal.AsyncFSWALProvider
2019-01-31 14:00:17,673 INFO  [RS_OPEN_META-regionserver/hadoop02:16020-0] wal.AbstractFSWAL: WAL configuration: blocksize=256 MB, rollsize=128 MB, prefix=hadoop02%2C16020%2C1548914409681.meta, suffix=.meta, logDir=hdfs://hadoop01:9000/hbase/WALs/hadoop02,16020,1548914409681, archiveDir=hdfs://hadoop01:9000/hbase/oldWALs
2019-01-31 14:00:17,687 INFO  [RS_OPEN_META-regionserver/hadoop02:16020-0] wal.AbstractFSWAL: New WAL /hbase/WALs/hadoop02,16020,1548914409681/hadoop02%2C16020%2C1548914409681.meta.1548914417674.meta
2019-01-31 14:00:17,864 INFO  [RS_OPEN_META-regionserver/hadoop02:16020-0] regionserver.RegionCoprocessorHost: Loaded coprocessor org.apache.hadoop.hbase.coprocessor.MultiRowMutationEndpoint from HTD of hbase:meta successfully.
2019-01-31 14:00:17,949 INFO  [StoreOpener-1588230740-1] hfile.CacheConfig: Created cacheConfig for info: blockCache=LruBlockCache{blockCount=0, currentSize=591.60 KB, freeSize=786.92 MB, maxSize=787.50 MB, heapSize=591.60 KB, minSize=748.13 MB, minFactor=0.95, multiSize=374.06 MB, multiFactor=0.5, singleSize=187.03 MB, singleFactor=0.25}, cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false
2019-01-31 14:00:17,962 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [128 MB, 8.00 EB, 8.00 EB); files [3, 10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory
2019-01-31 14:00:18,109 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=info,  memstore type=DefaultMemStore, storagePolicy=HOT, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
2019-01-31 14:00:18,113 INFO  [StoreOpener-1588230740-1] hfile.CacheConfig: Created cacheConfig for rep_barrier: blockCache=LruBlockCache{blockCount=0, currentSize=591.60 KB, freeSize=786.92 MB, maxSize=787.50 MB, heapSize=591.60 KB, minSize=748.13 MB, minFactor=0.95, multiSize=374.06 MB, multiFactor=0.5, singleSize=187.03 MB, singleFactor=0.25}, cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false
2019-01-31 14:00:18,114 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [128 MB, 8.00 EB, 8.00 EB); files [3, 10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory
2019-01-31 14:00:18,115 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=rep_barrier,  memstore type=DefaultMemStore, storagePolicy=HOT, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
2019-01-31 14:00:18,120 INFO  [StoreOpener-1588230740-1] hfile.CacheConfig: Created cacheConfig for table: blockCache=LruBlockCache{blockCount=0, currentSize=591.60 KB, freeSize=786.92 MB, maxSize=787.50 MB, heapSize=591.60 KB, minSize=748.13 MB, minFactor=0.95, multiSize=374.06 MB, multiFactor=0.5, singleSize=187.03 MB, singleFactor=0.25}, cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false
2019-01-31 14:00:18,121 INFO  [StoreOpener-1588230740-1] compactions.CompactionConfiguration: size [128 MB, 8.00 EB, 8.00 EB); files [3, 10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory
2019-01-31 14:00:18,143 INFO  [StoreOpener-1588230740-1] regionserver.HStore: Store=table,  memstore type=DefaultMemStore, storagePolicy=HOT, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=NONE, compression=NONE
